"","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"MB.0434",12.48429711,11.20013311,11.91245681,7.837307839,13.80315976,12.73695956
"MB.0371",13.32505216,10.82028048,11.70998969,8.582822241,14.04074056,12.07254589
"MB.0389",13.00390005,10.70964159,11.73181534,8.676513936,13.47624745,12.47056061
"MB.0895",13.5256871,11.63931946,11.90253036,7.740555448,13.89535619,12.33865303
"MB.0165",13.36089584,10.82143149,11.72914692,7.92259903,14.09561299,12.56549287
"MB.0589",13.56276988,11.26202327,12.11958187,8.635965412,13.64119616,12.09102856
"MB.0373",14.43922898,10.72930114,12.64689761,9.526792586,14.28384011,13.50379658
"MB.0225",13.24540984,11.37160136,11.65194747,7.583070292,13.23301008,12.57516159
"MB.0236",12.90964964,11.22283467,11.57788583,8.033847905,13.60501862,12.26469113
"MB.0662",12.98092741,10.66138503,12.08583694,8.612701288,13.6081007,12.74915594
"MB.0291",13.17120421,11.01680773,12.48045138,8.785912713,13.80144712,12.70229156
"MB.0465",12.99089941,11.12175174,12.10547432,8.065422119,13.81229096,12.33713251
"MB.0630",13.34578292,10.86223954,12.73453783,8.928646522,13.65974812,12.71140936
"MB.0307",13.72176079,11.10762836,11.8709628,9.387318651,13.80839927,12.58440069
"MB.0120",14.46838337,11.55083525,12.40848991,7.959003206,14.27673723,12.45365828
"MB.4688",13.46844325,10.81363217,12.05014436,7.936254671,13.94673133,12.1381912
"MB.4729",12.92274642,10.77052609,11.34639502,7.733481275,13.69500362,12.31578357
"MB.4796",13.03778271,10.78824382,10.79481935,7.480049496,14.15970627,12.22362008
"MB.5212",13.37291414,10.85727319,11.46085404,8.136066176,14.10855198,12.29879357
"MB.4908",12.83996997,10.41325681,11.45322248,7.348827339,14.0345866,11.66434026
"MB.4858",13.02430288,10.42971207,11.82558128,7.371573131,14.13483361,12.56676992
"MB.4930",13.345262,11.13611662,11.43200448,8.096082246,14.01189917,12.66173439
"MB.5238",13.49785897,10.97906211,12.12983527,8.024007901,14.39579199,12.86968695
"MB.4644",13.03453276,10.10525406,11.1852737,7.400309239,13.59143066,11.8537973
"MB.4878",12.87881572,10.62538493,11.08233628,7.685441445,13.92491961,12.26166677
"MB.5195",13.53172561,11.13825455,11.55851241,8.216468458,14.42014451,12.16973092
"MB.5266",12.78189246,10.44597736,10.54355787,7.169279508,13.80481774,12.82901534
"MB.5078",12.72779194,11.0528062,11.75177357,7.129319431,14.18879269,12.48792008
"MB.4276",12.26225059,10.91654254,11.42245663,7.164515094,13.91569278,12.45324577
"MB.5331",12.91007723,11.04715727,11.58255549,7.683325222,13.80078053,12.43936287
"MB.5147",13.27441095,11.0313269,11.8770836,7.867373167,13.68297228,12.33908704
"MB.5062",12.4251269,10.55901695,11.16071729,8.39346894,13.90890051,12.27203479
"MB.5414",13.32771042,10.55917425,11.13672911,7.897571225,14.1232509,11.92302239
"MB.4289",12.94505583,10.66672858,10.71531664,7.254581604,13.48058063,11.91048023
"MB.5418",13.57997221,10.56812334,11.29796754,7.640947966,13.91887684,11.29983004
"MB.5292",12.39906265,10.13142399,10.97832013,7.815200371,14.09463678,11.72371475
"MB.5166",12.12441469,10.46083939,11.62095036,8.183619845,13.72608531,12.37190798
"MB.5540",12.93984053,11.43744161,10.54409588,7.229345591,13.48760173,12.16892288
"MB.5459",13.58849178,10.36992204,11.77603483,8.326105821,14.51789824,12.68737251
"MB.3361",14.13471967,10.98629502,12.09793199,8.197706712,14.47602305,12.63332673
"MB.3360",13.87098727,10.60709885,12.1362497,8.315101091,14.12907088,12.97783123
"MB.3272",13.17363905,11.30422039,12.33043032,8.807164473,13.59562393,12.55459803
"MB.3235",13.912612,10.88636954,12.0543897,8.34732786,14.32052726,12.80453568
"MB.3488",13.6266792,11.14155837,11.34440941,8.580918748,13.70267268,13.08864069
"MB.2983",13.65762661,11.32577879,12.36992187,8.997489959,13.73065653,12.80550172
"MB.2994",14.06356267,11.17879487,12.05181841,7.670879025,14.240693,12.61967439
"MB.2984",13.73008283,11.02842953,11.86511252,8.559596714,13.77006027,12.43092085
"MB.3382",13.06895697,10.55603559,11.90232648,8.12856571,13.8368289,12.10434406
"MB.3379",13.42118903,10.98257535,12.28172578,8.162276004,14.03222254,12.31233975
"MB.3103",13.50386761,10.36258507,11.55472119,8.043253936,14.08464556,12.38189142
"MB.3104",13.72058627,10.41510608,11.88441385,8.677771673,14.06882735,13.20204799
"MB.2786",13.19260092,11.3355023,12.3695536,8.166048385,13.85508733,12.86380293
"MB.3850",13.2097459,10.72891678,11.97522535,8.135149094,13.3887387,12.18388204
"MB.3852",13.88252019,11.08636064,12.50027922,9.730966993,14.51789824,12.90352681
"MB.3028",11.60935475,10.66505567,11.88548498,7.875958381,13.30220003,12.35751039
"MB.0048",12.93458611,10.18644478,12.31283052,9.474270596,13.70224625,13.10597596
"MB.4626",12.8539489,10.6811638,10.1024237,7.252203262,13.71490625,11.24352579
"MB.4725",12.61424448,10.8255355,11.69503994,7.813565214,13.41172344,12.09088024
"MB.7068",13.51424132,11.08403382,11.17834872,7.732149509,13.81805778,12.15162769
"MB.2939",13.38866561,11.2192047,11.47880429,8.398684516,13.92298959,12.79371214
"MB.7001",13.28489172,10.94655569,12.57625312,8.150055791,14.10174876,12.90525096
"MB.7088",12.73730937,11.13366673,11.77134143,8.573280999,13.33318215,12.15224671
"MB.7115",12.32172714,11.34952103,10.8386901,8.123407759,13.28315989,12.03018921
"MB.7128",13.31822952,10.97277494,12.73869702,8.842399914,13.65018449,12.41010335
"MB.3031",13.58280948,11.0455621,11.89227801,8.728511379,13.77787011,12.43182903
"MB.2823",14.45869773,10.61164808,11.83465057,8.540719991,14.46428166,12.44207496
"MB.7287",11.9010444,10.75717183,11.89102619,7.907523627,13.57977485,12.6397755
"MB.7260",13.42019657,11.52654532,12.0016742,7.732691196,14.45727165,12.7542385
"MB.7046",13.05167898,10.36528645,11.2851086,8.253864345,13.69173112,11.58247543
"MB.2626",13.99786905,11.05031358,12.37378733,9.251229522,14.46428166,12.34913369
"MB.6157",12.57498866,10.97277494,11.79921968,8.453688988,13.30878717,12.44003413
"MB.6105",12.60208667,10.89477731,12.23907224,7.551774333,13.86057494,12.40292197
"MB.5186",12.58877012,10.5010092,11.040644,7.55599241,13.50899481,11.90200053
"MB.4846",13.01734594,11.06939125,11.02542558,7.087694261,14.15726213,11.80827638
"MB.5039",11.73156357,12.0313613,10.79981078,7.770076887,13.20760511,11.81525538
"MB.5174",12.75256519,10.52746456,10.81802034,7.635448757,13.4859122,12.78211304
"MB.6082",14.41158691,10.77964784,11.947729,8.521759176,14.19697276,12.23516252
"MB.5420",13.74284247,10.8414152,11.32988353,7.972731669,14.40854634,12.39516148
"MB.6049",13.84111903,10.50382652,11.89415215,8.528241981,14.35531759,12.14612999
"MB.6113",13.28426444,10.37533252,11.77965614,8.720832114,14.46428166,11.98566806
"MB.6114",13.42115107,10.6952292,11.81722416,8.295711269,14.46428166,12.40512437
"MB.6334",12.92334617,10.48706723,11.1576715,7.852007601,13.75334375,11.68720971
"MB.4270",13.02324497,10.73121149,11.97063306,8.724707187,14.26012877,13.30274324
"MB.6048",13.10053532,10.36013159,11.65553754,7.622627535,14.16444534,12.35116097
"MB.6116",13.43560277,10.78710311,11.59919657,8.138313889,14.06099147,12.1280963
"MB.4317",13.53445314,11.3623987,11.00180185,9.442900735,14.46428166,12.02925916
"MB.4348",12.76898044,9.782272859,10.73921664,8.237772293,14.4500356,11.82862555
"MB.6314",13.3028282,11.18637528,11.57185831,7.548283013,13.63364012,12.94648519
"MB.5164",12.64256186,10.68458782,11.35896087,8.028052749,13.57617705,12.77416548
"MB.0381",12.63639244,10.95533339,11.53484842,8.384055476,13.65490534,12.12072902
"MB.5332",12.58112722,11.47310062,11.75548156,7.093480088,13.90019258,12.43551722
"MB.7050",12.83892124,10.05149036,11.68780025,8.438997767,13.68261529,12.40691427
"MB.0388",13.09692246,10.69178648,11.906487,8.744884807,13.80508579,12.38407456
"MB.0553",13.51365466,11.55015668,12.0794663,8.717197912,14.11033068,12.69067928
