"","TCGA.3C.AALI","TCGA.3C.AALK","TCGA.A1.A0SM","TCGA.A1.A0SN","TCGA.A2.A04X","TCGA.A2.A0CX","TCGA.A2.A0EY","TCGA.A2.A0YG","TCGA.A7.A2KD","TCGA.A7.A4SF","TCGA.A8.A06R","TCGA.A8.A06T","TCGA.A8.A06U","TCGA.A8.A06X","TCGA.A8.A075","TCGA.A8.A076","TCGA.A8.A07B","TCGA.A8.A07I","TCGA.A8.A07P","TCGA.A8.A08B","TCGA.A8.A08C","TCGA.A8.A08G","TCGA.A8.A08H","TCGA.A8.A08P","TCGA.A8.A08S","TCGA.A8.A08T","TCGA.A8.A090","TCGA.A8.A097","TCGA.A8.A099","TCGA.A8.A09E","TCGA.A8.A09G","TCGA.A8.A09I","TCGA.A8.A09N","TCGA.A8.A0AB","TCGA.AC.A23C","TCGA.AC.A23G","TCGA.AC.A23H","TCGA.AC.A2FB","TCGA.AC.A3QQ","TCGA.AC.A3TN","TCGA.AC.A3YI","TCGA.AC.A4ZE","TCGA.AC.A8OS","TCGA.AN.A03X","TCGA.AN.A041","TCGA.AN.A0AJ","TCGA.AN.A0AK","TCGA.AN.A0FD","TCGA.AN.A0FJ","TCGA.AN.A0FK","TCGA.AN.A0FN","TCGA.AN.A0FS","TCGA.AN.A0FT","TCGA.AN.A0FZ","TCGA.AN.A0XP","TCGA.AN.A0XV","TCGA.AN.A0XW","TCGA.AO.A03L","TCGA.AO.A0JM","TCGA.AO.A12C","TCGA.AO.A12G","TCGA.AQ.A04L","TCGA.AQ.A0Y5","TCGA.AR.A0TX","TCGA.AR.A1AT","TCGA.AR.A1AX","TCGA.AR.A254","TCGA.AR.A255","TCGA.AR.A2LJ","TCGA.AR.A5QN","TCGA.BH.A0AU","TCGA.BH.A0AW","TCGA.BH.A0B6","TCGA.BH.A0B7","TCGA.BH.A0BQ","TCGA.BH.A0DD","TCGA.BH.A0DZ","TCGA.BH.A0HY","TCGA.BH.A18H","TCGA.BH.A18I","TCGA.BH.A18M","TCGA.BH.A18P","TCGA.BH.A18U","TCGA.BH.A1EV","TCGA.BH.A1EX","TCGA.BH.A1F2","TCGA.BH.A1F8","TCGA.BH.A202","TCGA.BH.A42T","TCGA.C8.A12T","TCGA.C8.A3M8","TCGA.D8.A140","TCGA.D8.A1J9","TCGA.D8.A1X5","TCGA.D8.A1XJ","TCGA.D8.A1XS","TCGA.D8.A1XY","TCGA.D8.A27N","TCGA.E2.A10A","TCGA.E2.A14V","TCGA.E2.A152","TCGA.E9.A1N4","TCGA.E9.A1N5","TCGA.E9.A1N6","TCGA.E9.A1NA","TCGA.E9.A22D","TCGA.E9.A22E","TCGA.E9.A22H","TCGA.E9.A295","TCGA.E9.A3X8","TCGA.EW.A1IW","TCGA.EW.A1J3","TCGA.EW.A424","TCGA.EW.A6S9","TCGA.JL.A3YW","TCGA.JL.A3YX","TCGA.LL.A5YL","TCGA.LL.A7T0","TCGA.LL.A9Q3","TCGA.PE.A5DC","TCGA.PE.A5DD","TCGA.S3.AA14","TCGA.UL.AAZ6"
"RPLP2",-0.284727788370924,0.668130038601393,-0.28675269396625,0.0211207051559814,0.200746113871638,0.472966957499003,-1.10091264492589,-1.79637381056826,-0.629365758187793,-0.18554404667536,-0.237885075364328,-0.311589431874411,-1.47531362347122,-0.305252241520662,-1.02060220707844,-0.528187317434573,-0.144957312676878,-1.7389159188302,0.705271556085692,0.409998316055223,0.475578556843015,1.37145272304473,0.7898706745823,-0.541972285671486,-0.524087880615903,0.380364316591584,-0.746900778392019,-0.691466847077042,-0.73166351325748,-0.132990352011236,-0.153580648365806,-1.03631569404173,-0.0242035260645068,-1.78316279741508,-0.873758097056944,0.955037881451477,-0.738002578105339,0.220371989870761,-4.30618760775528,1.14268423039852,0.586778126096279,0.540951278204945,0.00824893696336915,0.384816080337942,-0.635625551468169,0.801592731561996,1.36079872242289,2.04055396319695,0.730089794805853,0.515134919452581,-0.148588305428202,0.357362108105644,1.03690482073219,-0.658820076994988,-0.228098902952628,-0.113702879641845,0.202905471913921,1.23017910795605,-0.363571459311615,1.1065255409127,0.658932579731913,2.47852560791198,-0.502151344808499,-0.973780552990237,0.990449864950556,-0.231171803223138,0.114282855077058,-0.433023155667349,2.02037368917586,-0.186943716715921,-0.344970714716453,0.912913542452268,0.943223540174459,0.0257263060526422,1.3755684311211,-0.238865866810825,-0.105646699249664,-0.0457169049813961,0.153723790795686,-0.234419928457333,0.068787330170523,-1.14536067417543,-1.11807602540688,-0.390178508159764,-1.28040528811768,-0.854706906619949,-0.86754034018023,-0.264747455377844,0.701158449067559,1.39026662196024,-0.575824982101801,-0.351386451254737,-1.76424231629135,-0.888740021519385,0.0386222718516972,-0.841302042479038,-0.742039077556907,0.104989949731734,-0.789699728938876,0.883882271594406,-1.15889549042294,0.0275706613472975,-1.14046672626792,-0.399191790051076,-0.274907061433831,0.459031894314324,-0.149039278907165,-1.4389811695169,0.103131535238759,3.82536803246516,0.391509740027328,-0.510301107917194,1.1711027122198,-0.537779844542054,1.19712543160771,1.01208466846246,1.70056547878405,0.572027691082487,1.70901309509212,0.779611179257697,0.376574779858892,-0.267564987111175,0.624567950250951
"FAU",0.0191685441348123,0.742592449218685,-0.260334917915689,0.380198392627551,0.661752947588393,-0.367562852353737,0.0245154889202938,-1.12851943405959,-0.459962091957379,0.226507781124853,0.631945184614365,-0.667761672598158,0.099063384915497,0.117945549164418,0.0638140873735417,-0.501342513077897,-1.45350907017064,-1.5890340952996,0.372462215948926,-0.260670911923072,-0.534635140578916,-1.00970528367183,0.268360257902641,0.199773522572416,-0.543950875872461,-0.51818530658084,-0.541500845664682,-1.14292078693924,-0.352161864703439,3.53623857067862,-0.462990412585399,-0.295854787960359,0.104009236304333,-0.509522685905375,-1.66594757455052,0.62342991839395,0.230424071441909,0.0201819914716341,-4.57461517202709,0.907209840980401,0.349818709118149,0.130197959614954,-0.078089510734011,0.14324982644291,-0.141075390065623,0.181381848412531,0.649099861233323,1.40005423164737,0.571363684487679,0.957752147763487,0.346107592709593,0.261719175967689,1.38941804986397,-0.679192967787154,-0.28756129195204,-0.64661633831946,-0.728475566796396,0.533804390153346,0.317569425207859,0.483307697473197,1.07349610533841,0.672384107391108,-0.441892787928188,-0.550424160460706,0.375526753336309,-0.317904045457863,-0.599013324316944,-0.294630829924141,1.5055945675208,0.0482057224942704,-0.504855244862683,1.16081824359297,1.46016012983014,-0.444675493050438,0.685111467806789,-0.375503542823904,0.664698084685304,0.576313774459934,0.678413769932944,-0.532320151945647,0.0760723913151451,-1.74056020742192,0.375425433453388,-0.744674473284548,-1.5175474058547,-1.6695387651941,-2.37415979644659,-0.580624605909909,0.397110235585653,1.28125694119246,-1.13465679420328,-0.540941441481209,-0.417206997531186,-0.219211523586624,0.269367899300119,-1.28311734943465,-0.684978290484701,1.26183437628756,-0.235177393551391,-0.798809526066996,-0.105978313001554,-0.39666088564291,-1.09247851764864,-0.25050237824407,0.996264699509658,-0.122405701587185,0.503127651078522,-1.14561640772863,2.01844658874366,2.50666344098267,1.66089621017458,-1.5944826885306,0.690429175360162,-0.264066644791219,0.469051114594222,0.857985168041894,1.13128843990746,-0.173717459326904,1.44154799006624,1.10610955326409,0.236824802496555,-0.405440844479814,1.8306104810382
"RPS15",0.375436145308558,0.941525231284841,0.148462691478052,0.505550121246634,0.581921178290614,0.0285946361860496,-0.839179060682771,-1.3396939815219,-1.49693211070733,-0.582077680106099,-0.321476107101902,-0.801655347455223,-0.762044340429694,-0.34482793313456,-0.278444046886651,-0.492163186075078,-0.544283415692923,-0.477089387633245,0.99939497700431,0.109876024827582,0.245853104913217,-0.380070551615952,0.112393316887832,-0.216800153449117,-0.683343873267662,0.709185075682724,-0.750177673656721,-1.18357729588026,-0.253197610357386,0.958981482806278,-0.937482617391971,-0.195783090614318,0.317318942774076,-0.487824182310569,-2.1853063326292,1.39880589285502,-0.301510460723022,0.0519078803574158,-3.02744932570635,1.92801293560532,-0.130593936690879,0.967475072229562,0.542659327587634,1.11787484410564,-0.963245810556415,-0.105104658112081,0.730276126962131,0.886468592792186,-1.43650501129936,0.554336986524221,-0.113258900178554,0.313010308063796,0.901968709038336,-0.788183734107466,0.020671348769787,-0.469489129902479,-0.12393232841526,1.24239649664266,-0.360401648097958,1.3198161417689,0.83073276359049,0.472364612689388,-1.50437533011949,-0.513854377720934,0.412220726504853,-1.07588075369745,-0.241397533437289,-0.2865798696097,2.13832255882323,0.59835323498997,-1.95468778497304,1.37547696768803,1.08867640391844,0.00156087419095841,1.22559323899346,-0.125087644324007,0.72592652180694,0.179639385955827,0.296947815248092,-0.470148931605995,-0.380451561431027,-0.988164271497829,-0.422842006102081,-0.588418636205946,-1.61295704958851,-1.96825177053235,-2.25442290017412,-0.795605075767181,1.68409111518819,1.7273837205349,0.0850984743245212,-0.330811868587498,-0.403366562572509,-0.673481503980091,0.247449786543519,-1.26439393679154,-0.957773239261131,-0.139868890715442,-0.83814166832951,0.507064224463072,-0.984715587568487,0.160949528236573,-0.41221035946694,-0.0861885577830661,0.447791645307399,0.132336317681865,0.227625920518131,-0.928507775442448,0.422671470035307,2.94863784699511,-0.611160305510482,-1.00704010258652,1.48841507344897,-0.402904845547701,0.797020926529935,1.17974698366968,1.63898370534813,0.772781222945025,2.5097150791312,1.82518241969571,-0.0911069216758736,0.330401299234247,1.19856708877207
"RPS9",-0.499722421984229,0.511161726722469,-0.0463879919374708,0.230801510248029,0.522772796625958,0.204645199997357,-0.19846673605239,-1.24166062867681,-0.201421339071496,-0.192199629636591,-0.189029509045913,-1.10659080945213,-0.482360802486673,0.0784500696522821,-0.306916922382155,-0.76074347923939,0.285921781310425,-1.28343354847138,0.540781969121509,0.1759445206147,-0.11238033725234,-1.04445994194433,0.688208514447655,-0.686659759847819,-0.390159872229346,0.446746602028366,-0.992758816273204,-0.476112203342418,-0.824535963074706,0.139074727810828,-0.603425851530689,-0.733897962187366,-0.0534510143780066,-0.586238259044518,-1.34885217470269,1.22523306078242,-0.893713653446121,0.36474738336779,-4.47228389019801,1.41590775824812,0.84402331708015,0.320309047120986,0.247289154577533,0.468883189972088,-0.190633738967401,0.176747261804883,0.815893980265326,1.76857685970484,0.440314274604194,1.12647227825765,0.468327456881456,0.884650109033163,0.787258370629115,-0.483460503249906,-0.544440257434751,-0.629136012802123,-0.654002348462099,0.400931154825774,-0.370164896922191,1.73138123620711,1.12476322730377,0.851859485585502,-0.832499791304625,-0.401543516207959,0.494097906212308,0.0182470594148041,-0.258360627013886,-0.711087527204035,2.20099980345687,0.0504764002558891,-0.902577488745994,0.613136640068391,1.42620350316299,-0.45286796839099,1.07546723468099,-0.0193681737121373,1.39216413102589,-0.0428459824133801,1.00456827137108,-0.547930395402471,-0.0132048516327165,-0.63256948208122,0.108962815820391,0.00223188348254162,-1.63441274512396,-2.49621978600684,-2.65602270539885,-0.619350499042554,1.46495116693231,1.68633311862496,-0.697823684485278,-0.772526813281632,-0.934072999214794,-0.693131292625797,0.181262516699629,-0.765910064093874,-0.915007050038574,0.331565182505042,-0.884866382653918,-0.29728651779907,-0.288801217854587,0.146907700913325,-0.137608240075673,-0.523325958486936,0.692469278171148,-0.0710686058411334,0.182852534921076,-1.33995626910723,0.811522671726399,3.13936673269161,-0.505201812384368,-1.79149926294569,1.20381215731111,-0.252910834914263,0.707819204149138,1.07400346688319,1.52508980913822,0.48477824542057,1.64274509425986,1.09762202218876,0.16409776825612,0.340448154709038,1.13927932192589
"RPL13",-0.339542772037581,0.56493612991375,-0.0667334802121429,0.281212782830804,0.824782409826402,0.357174137449433,-0.594089668282874,-0.786343727316553,0.278692388866872,0.261027682128149,0.185223398346401,-1.10174525615915,-0.54424868827198,-0.1494326450446,0.0269185962686484,-0.584873042128965,-1.35146014623321,-1.03788079498073,-0.216621629293023,-0.281758020680077,-0.121172665872572,-0.952305892556109,0.428654495944714,-0.358234112770595,-1.05422908441565,0.286714537824404,-1.40373844872526,-1.03801107068526,-1.05611141539783,0.0873456209215217,-1.14285994129994,0.27656738807849,-0.348538711697669,-0.781644537190937,-1.76969662455028,1.55949489418848,-0.246363219058347,0.0190201421498292,-3.39421922251368,0.723809111275361,0.778129979735077,0.459092577731211,0.0578875791280018,0.316524758708635,-0.609760959753351,0.320885406229903,0.189186457592245,2.07360231021052,1.87082043868335,0.159934101231809,0.339108104226365,0.214664802524209,2.11737317122429,-0.907725030290883,-0.750020811359845,0.354396558046372,0.309755635097538,0.611912473252276,0.491880897130817,0.672647807192646,1.05281121053701,1.84893236197865,-0.0902510608101202,-0.0475037051063248,0.203539355839606,-0.496614898835703,0.0741577844254729,-0.658780952532508,1.95535903968964,-0.404129411216497,-1.57425707378692,1.05772613374953,1.53093514538451,0.108649830748898,1.35329672136396,0.440015640911627,0.462945773535004,0.745159888411781,0.788326715691478,-0.520554940625944,-0.365363363884201,-0.838287109002589,-0.303197836252216,-0.370819818865037,-0.316137840414141,-1.88048237072327,-2.14497715440628,-0.815282802124924,0.95265494172305,1.21656994978342,-0.927983828004922,-0.423629942661619,-1.3491267266284,-1.17268835357783,-0.25018923628154,-0.989968823420469,-1.07354132544185,0.806650925334124,-1.54142262704921,0.468728002462983,0.0759861564542368,-0.352310283946966,-0.589492158155422,-0.052956804929903,0.688727979259519,-0.153986231091943,0.526629296557599,-2.08109124056401,0.450418972992129,3.38460860939851,-0.776789010815831,-1.16374457523843,1.01178423699116,-0.348841417255689,1.07864798064223,0.888796799256199,1.51426763500663,0.431889295671454,1.66223457689035,0.822891431951224,0.231884795377891,0.1702890277517,1.55887155269968
"EZR",1.24085854061311,1.19957987039989,1.35059686077181,-0.111005264052957,-1.07812857512211,-1.43257614656723,0.0990569165118504,0.157342830910171,1.59326908657859,1.19701589065195,-0.972277332677962,-1.37313004415272,1.04986145268663,1.01646727266783,-0.870967807732759,-0.632580753381346,0.388436708780782,1.23919325194304,0.928177675274304,-0.897648000724667,0.284823949923996,0.508073501932365,-1.20399554162511,-0.745732215010273,2.89551101883252,-0.342731644363986,-0.117397057599124,-1.23859281492286,0.505255097656412,0.325795231217711,-0.454442574897685,0.710055403637672,-0.304309214046516,1.39249808582613,0.387502624085561,-1.22177159458551,-0.172397391620297,1.31894084652804,-1.72797102190982,0.491556650672091,0.679787062338933,0.122344253991685,-1.18286331697036,0.744921134885757,-1.48137799145339,-0.146578989627251,0.510561802033079,0.0231300287265998,-2.11947695475742,0.609399474053425,-0.31905661784555,-0.357242093143284,0.625330638171955,0.617318905888646,0.683045861196803,-0.714052996131763,-1.49312657188115,0.397685907198677,0.353778096653301,-0.797229908656042,-0.374869472295444,-2.04407084948971,2.26354591503893,-0.0835346971831466,0.378470352118348,-0.835483584076539,-0.807105232017602,-0.754655464637477,-0.700875278893369,-0.151696163137033,-0.0144635903160392,1.08351268639786,0.365161099321123,-0.0729193725476523,-1.85620066073066,-0.577900394558388,1.49799998703007,-1.03978948957103,0.935587794012456,-1.12679932620147,-0.130844481613085,0.672023272193223,-1.12026022932371,1.29547940367285,0.114104412596806,0.00222139742797889,1.91987895023855,-0.25983601969559,0.334685754692951,0.586182670351126,-0.526325022404675,-1.48816456164791,1.70292734655822,0.813297042120454,1.30176109568424,-0.12661516958927,1.34237164393464,0.119934847128791,-0.0300310409109377,-0.0239819502871721,-0.0793480955761641,-1.91909056805923,-1.63101135531314,-0.208550947229735,0.261738184171069,0.356590004035259,-1.37077093646775,0.31591408141926,0.484971850061252,-0.883915362638226,2.39769251045959,0.441025338429134,-0.234502744677061,-0.149217841200616,-1.99364449136185,-0.0395833493946482,0.226259785133485,0.763499463060446,0.247114564345044,-1.81574660717346,0.119587025050638,-0.190131123338944,0.179885499092787
"NDUFB7",0.901228375030606,0.535967781051202,-0.701233232733831,0.185749795621074,0.34776532450169,0.4194026351505,0.218793483991974,-1.04266073779033,1.73563330995354,0.0983672662880785,0.918141338261713,-0.446214070130706,0.588334224149275,0.38237233341885,-0.674674127090669,-0.297230862452072,0.0263542421437798,-0.683539517751674,0.832518033510287,-0.2155673364198,-0.825443570247318,-0.464059803294957,0.0131953612337308,-0.622627367826767,-0.231378829656379,-0.630989535270812,-0.216362289673333,0.114542828041053,-0.05839475094019,1.14589859569293,-0.43351793440421,-0.594165596051786,-0.55570329658073,-0.485252093997751,-0.803770628823233,0.624238612526732,-0.122176690144317,-0.574299509268309,-5.82512286356308,1.433118583965,-0.113471085101037,0.509335885615706,0.00743199940984778,1.08054550918897,-0.463866903716816,-0.895775528725469,0.297962973138178,2.0650104212469,0.0566111286069184,0.946765562504556,-0.560724339241089,-0.478321782122861,0.643130462219133,-0.530616051721037,-0.276090255238525,-0.834270359383464,0.331389353175535,0.444489239373007,-0.387896473858111,-0.682055188390273,0.982901630998857,1.17023888096398,-1.70291093371543,-0.396278743853869,0.11958789675263,-0.2510823604316,-1.0403957263289,-0.340480702321664,1.55343536097283,0.594684088848511,-0.110279746061469,1.32097890688721,1.2052274571816,-0.186729418801049,0.109272232242326,0.0506833547900039,0.750447954593857,-0.135840042767102,0.0986122106987497,-0.735952330628175,-0.550110174627236,-0.852914771005143,-0.429814676321034,-0.5259693283444,-1.16944431390692,-1.90280205697278,-1.86963198983123,-0.681955358870843,1.66044655014212,0.182500908436257,0.448438270721868,0.105842444166437,-0.607270999779035,-0.507612307280479,0.105142491273387,-0.924057358110557,-0.488628665159874,0.63694652308885,-0.915114352207835,-0.414259274650777,-0.429828265206899,-0.544525849098851,-0.192001079603288,-0.308866347428995,1.50760065694075,0.157660964975512,0.164939400590682,-1.16082733118794,0.839077868837942,2.79521463476254,-0.02548357087733,-1.86502876436312,0.73164009258115,-0.320859907067992,0.888905091370047,0.689579701868999,1.61454192569664,0.905936434618449,2.1262916177212,0.780856802208872,0.867839771907836,-0.310320642148478,1.55498321472039
"PGK1",-0.448459233829541,-1.05573461234037,-0.705956501202173,-0.693168010302129,-1.67952426405898,0.99737428706638,-0.112500424770609,0.279398150085838,-0.0231377380944739,0.610595267320054,1.20620921223894,-0.0943845205006131,0.962929612159889,0.695391016241885,0.705946074009319,0.639494767924581,1.46501288607814,-0.683269851427345,1.24470065363056,0.953328440087827,-0.912460791784905,-0.110215587228832,0.166829469710646,-0.239613109218325,0.519590229419789,0.218298536796723,-0.54303527039192,-0.120308469231346,-0.221193869143911,0.205979444456138,0.393289151110921,0.963414021026473,0.498624226565359,-0.895564521528403,-0.395825817140558,-0.815097763937776,1.39856193528234,-0.488973033199387,-3.71853881542037,-1.05283586325192,-0.742607777351263,-1.27480768361106,-1.36583671708602,-0.297479193806257,-0.29628838877764,1.97941920787432,-0.0456953658679038,0.536843883384407,0.795653623716314,0.340026130937685,-0.93132263027696,-0.630304678618415,-1.72293710030008,0.394649241946292,-0.703567295803305,-1.20046339232772,-0.163204184581312,0.43213848923228,0.239932281599292,-0.716050084946913,0.687609907032217,0.395105436656792,3.11121385188511,0.0179787469940181,0.322186428746492,-0.495386503715356,0.0333403224777537,-0.406569490937568,-0.641069293408827,-0.634969609934949,-0.674007739137121,0.625683419271297,0.167346697097208,0.7391746313088,-1.12780385666492,-0.506816479490097,2.38976762580934,-0.341716014194942,0.049872153463611,-0.590347383313061,-0.658315726455955,0.511611631907954,1.2629849611175,2.0225961231112,0.326305647593832,0.428734250150236,1.24930688383806,1.37245009159837,-0.311431240057886,1.25006793113501,-1.26496882681123,-1.1242475040432,0.9078426131605,0.984882669100902,2.40879052269231,-0.289924117739824,-0.617677086766392,0.432329417523748,-0.3868018993409,0.963506925981243,1.67544532188519,0.413822296049738,-1.06561058361257,0.273273684697392,-0.415208976847769,0.549229452188718,0.144107448492736,-0.462109690381927,-0.332803711967495,-1.97091971072093,-0.170853768529587,-1.29242674110549,-1.33315640339415,0.13290681247911,0.994457856225402,1.05240833969641,-0.905726569678451,-1.49154008576206,0.49834865161133,-1.25358878250876,-1.66162305525812,-0.769111911543977,1.05877633180046
"POLR2L",0.625446618729049,1.06232702154088,1.17507209535081,0.103901905542676,-0.0717369964875348,-0.718613715860575,-1.15098387242749,-0.840733126730166,-0.259479450585499,0.343432044616922,-1.43777306384331,0.668689833983716,-1.13815062065931,-0.0228483835800626,-0.308159216102789,-0.309074301393235,0.0912946285166411,-0.478020772909172,1.34184185922456,-0.0770277133593328,0.226044330761565,1.69709674140769,-0.00704923711866319,-0.545126467879403,0.517950048388382,-0.154588463619766,0.629537455880262,-0.1092673949224,0.137327260494443,0.313152182184989,0.0425460786218079,-0.899191328231317,1.56552453458172,-0.906894228642679,-0.419558269080764,0.458659453117411,1.50361425692545,0.113585869370848,-5.0280167633629,2.01679726390363,0.376247165627096,-0.0886010967984198,0.245130648016195,1.21598222537721,-1.64842754585313,0.192108081382523,1.15869561376684,0.553394448210132,-0.693782947995746,1.26355958570449,0.0854102012690762,0.00446580579662419,0.275721646891513,-1.39514413980003,0.186266750981859,-0.628702083092038,-0.567727486951927,0.115460281874282,0.885852453391558,-0.145575177167089,-0.30508057695913,-0.490830846890944,-0.801108972186133,-1.76145200637794,-0.0905983740178672,-0.0402013763204798,-0.965259787927641,-0.557507820076523,2.14301410902119,-0.173574966069569,0.102145944276077,0.612837280463078,0.252430766247301,0.482481384194308,1.24817066169479,-0.914891436111887,-0.449096292746583,0.392151342012133,0.0730269271548397,0.101434652695196,0.873639247545879,-0.729212162656004,-1.40520138818751,-0.458857956719611,-1.10370850274249,-1.24305058369493,-0.705465789137739,-0.828585756051691,0.655030729269533,0.948278513782832,-0.00889745289858509,-0.394774877637453,-1.10735962143659,0.268459743677632,-1.04975166620713,-1.79670067902673,0.0797275324797633,1.15433935409516,-0.579516096026616,-0.0629518487382711,-0.435446844157983,-0.19321350616971,-0.999894050166038,-0.0311941543551713,-0.466838561023039,1.20072564629069,-0.639950322779042,-0.185902390324366,-0.213753756071926,3.76118906906948,0.531565800646461,-0.967071938425356,0.646353767348149,0.68018893408792,0.180309608313251,1.14522034962193,1.39764350338356,0.00568812795520117,2.08178637601215,-1.05986572052609,0.376844055094618,0.455868555336941,0.224333572096606
"ATP5ME",0.0836528355036256,0.769534634322474,-0.546922451533545,-0.773746469867038,1.12198958926761,0.427497891972584,-0.196259397071224,-0.557736841299619,-0.768506459663901,-0.291859661211187,1.23758046500942,-0.254575227311664,0.729023573270922,0.371967050469664,0.926425104703725,-0.129480597777451,-0.66925717994113,-0.747275407370794,0.562784060638611,-1.10947058685645,-0.441375488114179,0.340377075505775,0.0591176825353656,0.0124811793012158,0.531501820382391,-0.0335232882869792,-0.524820771488757,-0.430260505212868,-0.000863607829187152,-0.154641926076007,-1.03483451461814,-0.0346103938524317,0.188428970229598,0.314438118094021,-1.79362830647287,-0.356402921186419,0.49439708494974,-0.180544966039836,-4.38510984592634,1.18306604458277,-0.417577872675987,0.104509444715622,-0.125997677395314,1.2430373459052,-0.381931676985685,0.819990528759516,0.516360972232215,-0.208058031826276,-1.96955411416124,-0.0230021660639953,0.227682718629104,0.167710041313896,1.98513819430577,-0.26892847244629,-0.66074334403201,-0.750416986614517,-0.256691555556001,-0.365560148680506,-0.0795346833775574,0.535406540797958,0.705923669781361,-0.480367644093113,-0.62161088735727,-0.446108318800954,-0.216066005967088,-0.677958212847996,-0.282436662628572,-1.00265162458908,0.718786741788827,-1.45749399581944,-0.0972038560115746,0.920928646948731,0.836506235872747,0.152130755004108,0.335132008441962,-0.999022294496201,1.4316486512471,-0.293144878432831,0.363575303706057,-0.712161749923033,-0.711991541820221,-0.939863843325044,-0.88510246387451,-1.14050563477593,-0.637211114427102,-1.27916696661166,-0.803353544698476,0.0533202656909995,1.96551548025614,0.604763517059288,-0.17810219301838,-1.57273877644809,-0.0517711550373589,-0.0750032024396733,0.115135396864121,-0.861289981995847,-1.11440339571844,0.674437209743192,-0.643973015519912,-0.686441365429641,0.124602077783314,-0.866057056241349,-0.528349791345611,-0.298728235136754,1.4200889158917,0.861478324424216,1.25406602044862,0.1043922142913,0.711992301189374,2.78626382694556,-0.211135489681179,-0.151133891408388,0.805072800981902,0.639671884050392,0.803439390945666,0.289892501469486,1.40424202645881,3.67193228485898,2.48893246793517,-1.82731883599415,0.69941548101184,-0.443898478287995,2.22008428053664
