"","cluster","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"TCGA.3C.AALI",1,517.866033306064,679.045592271438,350.203671037333,307.942179483332,847.535638122369,575.521410971465
"TCGA.3C.AALK",1,736.115113824658,536.118995522367,632.360853439712,534.602269064325,1454.13866730631,888.861028713993
"TCGA.A2.A04X",1,588.757450971795,474.63475344473,636.665184173179,626.32751213214,1115.89076459234,846.729646392866
"TCGA.A2.A0EY",1,243.281229400087,436.615573735731,417.675556926845,263.62165908749,533.60515460635,577.373951421732
"TCGA.A7.A4SF",1,285.511567871421,403.864114595667,419.208935388154,444.19385984162,896.53568426344,651.894520464422
"TCGA.A8.A06R",1,335.772814864135,686.515776278056,419.986709138486,424.129769066131,870.334880644075,831.7031170446
"TCGA.AC.A23G",1,977.829561318498,567.634703600473,959.617206989077,979.859712668213,1710.72071030065,827.45956837204
"TCGA.AC.A3TN",1,1358.10407324572,957.849826583039,1072.63065907391,588.952409832317,1902.53417740678,981.239719893971
"TCGA.AC.A3YI",1,378.098862561528,352.086987628765,768.089095254114,608.773667173335,1388.65251133563,702.03162985813
"TCGA.AC.A4ZE",1,748.07462951454,526.958025292762,565.632636117134,501.201866121922,1353.06941005843,615.235930840571
"TCGA.AC.A8OS",1,574.569776699594,380.767517671934,542.00409186134,392.440559736334,1000.59115709969,542.841503123518
"TCGA.AN.A0AK",1,645.597297007648,459.577157184467,755.572432489028,425.1559586996,2152.6653477228,840.31819914473
"TCGA.AN.A0FD",1,711.369674734957,1441.17139994816,1317.85871648801,1340.0196533609,3163.29991132255,1319.20326493701
"TCGA.AN.A0FT",1,718.251023773768,574.616376753519,743.039710693769,1376.2078674584,1791.90663910115,1310.80496741843
"TCGA.AO.A03L",1,887.33568116989,505.299845678759,592.91729642103,550.129497075977,1999.17928521407,784.085717333717
"TCGA.AO.A0JM",1,327.739703268313,294.730715630685,377.774279904754,511.319709721306,810.499965569855,688.559081375754
