"","B.cell","T.cell.CD4.","T.cell.CD8.","Neutrophil","Macrophage","Dendritic.cell"
"MB.0434",0.0140225366135542,0.0533750017128204,0,0.0681656602519362,0,0.322403811839565
"MB.0371",0.014796631675743,0.152521331559148,0.0944576022617502,0.161073408174736,0.102934899556967,0.548086860363795
"MB.0389",0.168870296441447,0.179856096014666,0.101001809368498,0.175787348644329,0.0916786838137768,0.568937814780952
"MB.0895",0.0761755980472111,0.184417266534485,0.12582686211062,0.151427226439422,0.0118623171390696,0.553539002415379
"MB.0165",0.124762555728662,0.275999333411428,0.147670251161119,0.1542969825572,0.0608166036161148,0.63316333114172
"MB.0589",0.0171299136003883,0.124227135407237,0.0951493314572842,0.102954104360919,0.0431836049025568,0.426648312037034
"MB.0373",0.0528183003859,0.202095344091903,0.0568821021718999,0.130314408860939,0.0609017679583977,0.526945895894126
"MB.0225",0.0480252634816599,0.036601754706254,0.0985865084378159,0.041177515796886,0.0849048660659148,0.225909924721839
"MB.0236",0.0829620102464215,0.154980968921427,0.154478334533208,0.139696981379234,0.0593062819282275,0.527615707745684
"MB.0662",0.126452947060434,0.277950698073632,0.143908457029721,0.207301376772833,0.0364894587210096,0.663346599642632
"MB.0291",0.0254697758769946,0.107230407426099,0.104889177235864,0.121116706228053,0.103449907996251,0.502723052501963
"MB.0465",0.00350095299029376,0.0856906158348881,0.0920828645969423,0.125856073238293,0.0440173759491037,0.410965212489203
"MB.0630",0,0.0240204368895835,0,0.0417932859896594,0,0.18021047895604
"MB.0307",0.168797896129683,0.278095085831682,0.252694905688029,0.252002417894089,0.0557157891420837,0.769511202664021
"MB.0120",0.103934187007089,0.151634122552798,0.145322065692505,0.155848376879935,0.0297477014316626,0.556732810644977
"MB.4688",0.0730544676495128,0.175509670929609,0.155858546377254,0.143002275197724,0,0.541716779631071
"MB.4729",0.0469872395252586,0.109649151182511,0.0457575888877532,0.0251686055768891,0,0.17146969350892
"MB.4796",0.0317008850728761,0.0617554051451662,0.0533507344250573,0.0740169171734009,0,0.326459831938952
"MB.5212",0.0685865875900311,0.162124672029787,0.177384652628257,0.112375545955837,0.00285689970866004,0.542350081659108
"MB.4908",0.0243887161656355,0.0800223688276237,0.0708737104979016,0.0864544207708343,0.0116321619015849,0.325541699072507
"MB.4858",0.0992127592831711,0.135022623120003,0.0886771802837394,0.093780032755685,0.0425822645494874,0.375082357993594
"MB.4930",0.0596172972922566,0.152679635662696,0.00704465440049129,0.0753510115205807,0.0120584687514832,0.356806404069867
"MB.5238",0.124079129272272,0.256291683562582,0.115965906277512,0.146612003974675,0.0421969376155056,0.519696654302946
"MB.4644",0.0184648284041482,0.0323002600318546,0,0.0137547506335368,0,0.0970852888929358
"MB.4878",0.0720942238924832,0.124878385304836,0.0475962025740243,0.0965930937356286,0.0353134571106031,0.353808865997122
"MB.5195",0.0913371932545258,0.219013197100053,0.11593708242909,0.124103482236033,0.0548760976044465,0.548281295946866
"MB.5266",0.032642752866636,0.0988024907388235,0.0737913824929577,0.0688594935161672,0,0.301034320341319
"MB.5078",0.0745125246437251,0.147198323801917,0.0724869274815757,0.108734781358746,0.0261884574167883,0.442532283831786
"MB.4276",0.0198854046630496,0.156977576685231,0.0551275857941018,0.10204491227591,0.00177853489229045,0.409086938747485
"MB.5331",0.055319583714172,0.111839976170867,0.0130699578085455,0.0468553944060761,0.0085310588046369,0.286852957085449
"MB.5147",0.0748273823824984,0.166060882693117,0.118867401125894,0.161374510436716,0.109224464854946,0.536656923680998
"MB.5062",0.145256817283157,0.203962473279505,0.0939233401330961,0.151846516161663,0.080221173986832,0.608709605556659
"MB.5414",0.0490650389067437,0.13372386513151,0.0913657687332435,0.114704222752326,0,0.457637959527867
"MB.4289",0.00204087317222829,0.0423338756348841,0,0.00177054775496369,0.00603123319970322,0.0913116033126965
"MB.5418",0.0351537864064479,0.143934942542009,0.0287823652864148,0.0834140576435889,0.0308926765125097,0.324777873429022
