"","B.cell","T.cell.CD4.","T.cell.CD8.","Neutrophil","Macrophage","Dendritic.cell"
"TCGA.3C.AALI",0.0897187004970186,0.205125183319689,0.0940187711153897,0.096035584090062,0,0.414582876600436
"TCGA.3C.AALK",0.0761173685466396,0.130627567116731,0.0750193342261977,0.0859784759772131,0.0425632893973952,0.358774046758033
"TCGA.A1.A0SM",0.103529934578358,0.131958865757173,0.140369418094519,0.114046878557263,0.225119112173847,0.341965543766159
"TCGA.A1.A0SN",0.140386709450979,0.141906953603253,0.242148491073421,0.189891539605,0.106248312332263,0.478538125014081
"TCGA.A2.A04X",0.101670451791667,0.141248359640385,0.161034029029765,0.122172350937678,0,0.391867300308879
"TCGA.A2.A0CX",0.0895302723507565,0.0464653213444304,0.19845848408779,0.152123312209464,0.154249555995857,0.553838488003594
"TCGA.A2.A0EY",0.108857523211153,0.152959877587082,0.0909739381191619,0.0829977055234921,0.0801865740198428,0.411835520363497
"TCGA.A2.A0YG",0.0892852153234107,0.107495957081396,0.085429083449338,0.0725178690637299,0.0657060049300481,0.304274547781633
"TCGA.A7.A2KD",0.0627031718534444,0.17838738825553,0.171390730355276,0.190797825742698,0.14961572287613,0.565475131964106
"TCGA.A7.A4SF",0.172495544833621,0.107576789752519,0.15480999169245,0.0294705301188079,0.0442599567933146,0.315762132955772
"TCGA.A8.A06R",0.037707164720272,0.0919075915666367,0.063768843675357,0.135044640058511,0.0511208501589868,0.386902999435413
"TCGA.A8.A06T",0.0394702247076568,0.0873923669794765,0.103986548754663,0.0632494158275484,0,0.231072718299906
"TCGA.A8.A06U",0.0352600833666379,0.0900219401179995,0.136430553379595,0.0815110042549226,0.075269756042037,0.353161218040968
"TCGA.A8.A06X",0.0644625347156429,0.0599151926074134,0.148942966548086,0.100291196291023,0.061030464686843,0.370861751784104
"TCGA.A8.A075",0.109109738770655,0.145129446750726,0.0808706948233609,0.107155534341377,0.0435570945211377,0.542420500281583
"TCGA.A8.A076",0.142328394829047,0.0864325862918937,0.177399096675972,0.100679824376944,0.157185223271945,0.50337662998396
"TCGA.A8.A07B",0.0608926624786124,0.0879717007812902,0.0965243342099177,0.0445615757629472,0.182412278810031,0.190458728766202
"TCGA.A8.A07I",0.0951827063335072,0.11995568536528,0.114057021292105,0.15833926782434,0.100772839331498,0.49972127751071
"TCGA.A8.A07P",0.0966550719728113,0.0284810912383474,0.108041541767052,0.050102075971608,0.101401816625287,0.315753935836407
"TCGA.A8.A08B",0.0379349044745443,0.0917607628648266,0.0696858181219406,0.0749284440259828,0,0.176553137414457
"TCGA.A8.A08C",0.0754335466288797,0.0850972250273872,0.07653648846727,0.037754209972005,0,0.241966787856144
"TCGA.A8.A08G",0.00669544867412425,0.123612090897759,0.0156466794027402,0.0848087700306089,0.0722495095825545,0.368069296328776
"TCGA.A8.A08H",0,0.279152174209872,0.313532145557257,0.431494535420839,1.31537336324496,1.43617803931952
"TCGA.A8.A08P",0.0193993860149366,0.223583179055471,0.173992450043519,0.232641292979037,0.136060173456158,0.888582765073804
"TCGA.A8.A08S",0.0417911431236643,0.0832461768494181,0.0578448104070104,0.062063597912005,0.00499074297823614,0.221134487422664
"TCGA.A8.A08T",0.114890613468304,0.0956476987826693,0.046062907816008,0.0640119808287705,0.0227551001662529,0.28351724278921
"TCGA.A8.A090",0.0298025309029515,0.085429768926206,0.0921362503686704,0.150578760842174,0.171933492862951,0.516710687389458
"TCGA.A8.A097",0.0676196836785307,0.0910214539338724,0.128636948415651,0.140524653946113,0.13642385722401,0.469071367080811
"TCGA.A8.A099",0.140886741328351,0.0875838344014106,0.098479384489335,0.062324778633586,0,0.30497100838247
"TCGA.A8.A09E",0.0407317654961306,0.0372774570194632,0.00855545614891355,0,0,0.077069169277774
"TCGA.A8.A09G",0.248212258259668,0.124328236220671,0.298989892484581,0.129779488222007,0.0971779652767579,0.468756056785196
"TCGA.A8.A09I",0.0552933788211991,0.0544534093025659,0.153137251320892,0.15283839484929,0.0357450712970387,0.592397432876171
"TCGA.A8.A09N",0.136040861324484,0.0945206748708557,0.125735343543081,0.0384042922776295,0,0.280869800140328
"TCGA.A8.A0AB",0.038813544747282,0.107500960605183,0.091719536736004,0.0213377217716113,0.0400383856124149,0.120138009781168
"TCGA.AC.A23C",0.150334291348006,0.115038345659612,0.191147041806463,0.14004840904072,0.0631964385649859,0.606595467296585
"TCGA.AC.A23G",0.00741021955125007,0.139916707331163,0.21144718243181,0.173924490598808,0.136060235679528,0.731774458320845
"TCGA.AC.A23H",0.134027761263544,0.0343884375438633,0.150562521684131,0.0614378868347584,0.0378624087940427,0.353799337751938
"TCGA.AC.A2FB",0.239839823805398,0.334596769143381,0.847796118975656,0.327410183009052,0.10879061628069,1.24053356051163
"TCGA.AC.A3QQ",0.0828878278739496,0.229745109895223,0.126438500706542,0.122173543279124,0.00286101370036378,0.301726880936786
"TCGA.AC.A3TN",0.0463465495269227,0.0868471158785917,0.0320595440150844,0,0,0.142811702310757
"TCGA.AC.A3YI",0,0.118905613598156,0.160608589329502,0.273736624894831,0.0438632999383423,0.520325289458725
"TCGA.AC.A4ZE",0.022107509175868,0.139755051494579,0.0870321171290023,0.026565242051953,0.0612200101207436,0.162777001212645
"TCGA.AC.A8OS",0.0806974664005203,0.262594665856364,0.150822187788764,0.114169458050649,0.140913440694936,0.459599821221633
"TCGA.AN.A03X",0.0178149239840091,0.0285479392523084,0.169664602132067,0.102326669421842,0.123340119935615,0.371522456831956
"TCGA.AN.A041",0.0323091989129651,0.125356975815294,0.049336561799292,0.102407039519806,0,0.38257900959783
"TCGA.AN.A0AJ",0.0657114913932587,0.102066585485095,0.202588678091955,0.130518332574349,0.00102773501485664,0.555139559761886
"TCGA.AN.A0AK",0.0301130830838225,0.0284691268891178,0.0150551864205941,0.0236449523860642,0.00802416579138753,0.21300300051828
"TCGA.AN.A0FD",0,0.0961874309360128,0.0207833885872112,0.067676470459,0.0181463089854786,0.256438952827693
"TCGA.AN.A0FJ",0.091402832261059,0.157988795791823,0,0.168878208098578,0,0.439240029647929
"TCGA.AN.A0FK",0.0548856558787487,0.0470541558357923,0.0358325368441792,0,0,0.109224912251025
"TCGA.AN.A0FN",0.160131895195305,0.304806187463677,0.53966108487028,0.339959162510745,0.178273610365904,1.06513260688621
"TCGA.AN.A0FS",0.0835873530841353,0.131951782223117,0.175374491497123,0.0814530177449966,0.0545306864658416,0.410208395872751
"TCGA.AN.A0FT",0.058737844285311,0.098716065557825,0.0234588110864134,0.0361152689528732,0,0.349135288749031
"TCGA.AN.A0FZ",0.0897082848906785,0.0838221080516431,0.118753984866558,0.0402260800479999,0.0781366718427736,0.274041339864061
"TCGA.AN.A0XP",0.0171719088880924,0.131916440572846,0.0273699662277013,0.057244232342214,0,0.173658614767468
"TCGA.AN.A0XV",0.0504567447564114,0.170436088272388,0.250878923234455,0.0946197127171088,0.0346267738689748,0.445656414238702
"TCGA.AN.A0XW",0.056553447868364,0.208874683321527,0.245495802990098,0.274785345893155,0.138415811051366,0.812158705444111
"TCGA.AO.A03L",0.0815186788610259,0.134104839001422,0.1272137318519,0.108672372252848,0.0140697957482813,0.343087858410431
"TCGA.AO.A0JM",0.0289908697891562,0.0886650152132288,0.10692573201187,0.128362220283336,0,0.425930286464664
"TCGA.AO.A12C",0.0300277527987484,0.0982510191217935,0.0446050558459418,0.0678533848496265,0.101165535387798,0.192424575686261
"TCGA.AO.A12G",0.0705953808361145,0.0881295218379611,0.120165796579493,0.0327219997192933,0.0328838878833468,0.276728037004408
"TCGA.AQ.A04L",0.0313430379770707,0.0495152033711841,0.0874029930047145,0,0.115028985262354,0.440411989397483
"TCGA.AQ.A0Y5",0,0.0633698226874979,0.149819122647386,0.0937874621573023,0.136758788149936,0.410761944472316
"TCGA.AR.A0TX",0.220736347402314,0.230955291740445,0.387306514943961,0.212250130071964,0.152109298750835,0.899492048861662
"TCGA.AR.A1AT",0.140544113673393,0.187450012709434,0.328085490951783,0.181259658390092,0.119083969738234,0.592537639828886
"TCGA.AR.A1AX",0.384631352635239,0.60188689490314,0.325255177255139,0.282881937615028,0.0128834074056146,0.968286297870216
"TCGA.AR.A254",0,0.165177040759164,0.136098749239886,0.215365037656109,0.213443680275135,0.613729118219772
"TCGA.AR.A255",0.0505746027005874,0.205868746752912,0.183518242947254,0.175491701093661,0.118441927127806,0.586576927840558
"TCGA.AR.A2LJ",0.0176946659037111,0.17859675592355,0.106334718799883,0.0747696882090869,0.202612866452261,0.790279194710397
"TCGA.AR.A5QN",0.0868961117307672,0.142229829578134,0.109296034058456,0.135366881022054,0.0795079618372601,0.414453606899818
"TCGA.BH.A0AU",0.0550689995980779,0.163398386342335,0.0821095942149794,0.0764230706379572,0.0547265966567327,0.326459648018755
"TCGA.BH.A0AW",0.202288415349175,0.188670059162339,0.411656350164767,0.165412427235182,0.0782231182126186,0.914224523237596
"TCGA.BH.A0B6",0.340559756360421,0.21175411766636,0.650509527983372,0.195811569043088,0,1.10419567007392
"TCGA.BH.A0B7",0.164244492458508,0.265124732288472,0.402185144296537,0.21243220047557,0.0770995037659747,0.807583363425092
"TCGA.BH.A0BQ",0.00688540340278658,0.169919581109995,0.174070763235701,0.115335929792258,0.000550236684835614,0.58365472599697
"TCGA.BH.A0DD",0.069463523758444,0.0853053205996779,0.118847513113796,0.0744054916157681,0,0.244709917427684
"TCGA.BH.A0DZ",0.0439869896625997,0.0480087100079821,0.120101507240419,0.163117698741241,0.06505533915913,0.530758313787494
"TCGA.BH.A0HY",0.229867463421408,0.142592737192397,0.149980564067384,0,0.0153891913057596,0.299184371031587
"TCGA.BH.A18H",0.104137649388854,0.129774963292769,0.474763992865507,0.172488233423125,0,0.813694943996372
"TCGA.BH.A18I",0.0939979588855207,0.197594710177439,0.207094593856185,0.226660454034089,0.0812501874759086,0.775083524573896
"TCGA.BH.A18M",0.0750535098965379,0.146191268224745,0.177917501152349,0.1152642555182,0.113890144682122,0.449281382616136
"TCGA.BH.A18P",0.18522672764469,0.0866431288672149,0.226906490003831,0.106497585618583,0,0.444666502472181
"TCGA.BH.A18U",0.031488227653861,0.0273226628168761,0.0161822081883134,0.0595858858553051,0.125391239534656,0.265383763865743
"TCGA.BH.A1EV",0.120164632811251,0.0812776471216543,0.121399392737537,0.0727055743366032,0.0640255885918496,0.291985704013632
"TCGA.BH.A1EX",0.0507645601290764,0.170037508993816,0.165706329638401,0.181896230065502,0.193923250951334,0.627417074147141
"TCGA.BH.A1F2",0.0663064981450655,0.101903839025906,0.21108423171243,0.208285795446814,0.209477058028228,0.467840680396536
"TCGA.BH.A1F8",0.137496438718345,0.00752471858197813,0.222167535820162,0.0843059161415991,0.101868310449036,0.252727916444236
"TCGA.BH.A202",0.0590327800873325,0.0700665689630745,0.154373329222994,0.108679695114661,0.144071411684662,0.535572924299326
"TCGA.BH.A42T",0.0959233470025047,0.0436164916786958,0.0105132690261162,0.125596720697251,0,0.458125416145769
"TCGA.C8.A12T",0.00531923245284695,0.06337882851746,0.0734014015117167,0.0569312258166142,0.0347732222059705,0.295599292421161
"TCGA.C8.A3M8",0.0177862598588623,0.0720927283394844,0.0267348479713376,0.0394513200755536,0.0633918265916053,0.199986675118203
"TCGA.D8.A140",0.11019095864852,0.131675355816254,0.116073024063422,0.080300570680899,0,0.303742104376859
"TCGA.D8.A1J9",0.169818430901068,0.0511176817247963,0.248517078251476,0.112955645971858,0.15411731251345,0.587275734340782
"TCGA.D8.A1X5",0.197046854631885,0.0928651461306924,0.202577144186101,0.117574254828358,0.174336933441092,0.607908656343239
"TCGA.D8.A1XJ",0.116211953770638,0.0473650992034802,0.0914441266046187,0.0396932300972796,0.0496901370674128,0.304933315824337
"TCGA.D8.A1XS",0.0425260811038326,0.0915628675065759,0.134018991972908,0.100641244636489,0.137593883135525,0.348259854901597
"TCGA.D8.A1XY",0.022557676529491,0.0589923885319419,0.117162297342383,0.107850081279435,0.158717148449915,0.325976506950918
"TCGA.D8.A27N",0,0.110363078623991,0.107081836170058,0.162795763860107,0.259033653980628,0.5635371372141
"TCGA.E2.A10A",0.0767912497249961,0.0893650268199554,0.0832061904184463,0.151347633168993,0.109776105500259,0.355035217929497
"TCGA.E2.A14V",0.111362254730389,0.0764025758025616,0.152689955242499,0.03465390775701,0,0.260653899592013
"TCGA.E2.A152",0.116881442809314,0.100564313076379,0.219129291870542,0.152227426727965,0.195146561370919,0.510200629651777
"TCGA.E9.A1N4",0.122861819178396,0.226430961496421,0.263352465986578,0.191496026679146,0.272602200712958,1.18912166171801
"TCGA.E9.A1N5",0.0258218054805784,0.19541772755426,0.239481348003863,0.167708242076738,0.121910902284392,0.594382920741828
"TCGA.E9.A1N6",0.075071254885096,0.105432728287541,0.099342589536305,0.107278457648824,0.112221313425711,0.445934116530759
"TCGA.E9.A1NA",0.0625179543897181,0.129587919860388,0.0532564525850918,0.16829051556074,0.217671057435271,0.496483856281844
"TCGA.E9.A22D",0,0,1.24683037412741,0.330109885190836,0,1.03713798422222
"TCGA.E9.A22E",0.0162702704529766,0.132643358188067,0.248156250669943,0.169293438906678,0.185416098426759,0.538995181648905
"TCGA.E9.A22H",0.0800474605243742,0.0966112032380491,0.170494777995307,0.103974770907891,0.0755857942773224,0.288839947110076
"TCGA.E9.A295",0.030791605399029,0.0794443652360573,0.128332067675338,0.0277962969278366,0,0.302097119810402
"TCGA.E9.A3X8",0,0.0692021548350858,0.221011610113991,0.0114279883571724,0,0.307662308443955
"TCGA.EW.A1IW",0.0326837994538085,0.12530250876118,0.19348564520029,0.125546652474534,0.138152163481441,0.374651845903047
"TCGA.EW.A1J3",0.0404307916213152,0.0508844724952562,0.175947251716285,0.126014211441975,0,0.342765971834214
"TCGA.EW.A424",0.0321952670947019,0.0989991835065336,0,0.0238176095161843,0.00249989339831966,0.131669415442163
"TCGA.EW.A6S9",0.142483588378263,0.093042753542248,0.0962332192489941,0.08858233184528,0.0364702546080932,0.350727458125192
"TCGA.JL.A3YW",0,0.147943735448094,0.170980110515376,0.256943312201223,0.125360445495294,0.836807006221423
"TCGA.JL.A3YX",0.0414464735748993,0.0587462912330674,0,0,0,0.079981200890479
"TCGA.LL.A5YL",0.013137495351982,0.0668168528109315,0.0859039091512417,0.0433344615160219,0,0.319732033414314
"TCGA.LL.A7T0",0.0742260971933056,0.0943548027052519,0.0122663404473341,0.0441352710130964,0,0.271780290733545
"TCGA.LL.A9Q3",0.0662813624923703,0.0495291256839946,0.0352804676025454,0.0265450044870009,0.0350659416200759,0.279333037546162
"TCGA.PE.A5DC",0.0823187318744641,0.106925795518804,0.0461902481520593,0.0235192756595904,0,0.175967272866937
"TCGA.PE.A5DD",0.172769573293928,0.203518658511746,0.207256879357035,0.0654112333722494,0,0.404126156060775
"TCGA.S3.AA14",0.0914383426279815,0.115600646135514,0.0868515736326507,0.0440077908768199,0.0530488690281754,0.248610184528257
"TCGA.UL.AAZ6",0.103438202855603,0.0320220562694938,0,0.00372751844181605,0,0.153502537516058
